lid,longitude,latitude,naics_code,num_visits
8714691,-79.9587295,37.302484,722515.0,7
8714829,-79.9587295,37.302484,337910.0,5
8714829,-79.9587295,37.302484,453998.0,5
8714829,-79.9587295,37.302484,517312.0,5
8714829,-79.9587295,37.302484,722515.0,5
8715088,-79.9111729556184,37.4161333774003,446110.0,58
8715177,-80.0962175,37.290099,452319.0,4
8715985,-79.9587295,37.302484,337910.0,4
8715985,-79.9587295,37.302484,453998.0,4
8715985,-79.9587295,37.302484,517312.0,4
8715985,-79.9587295,37.302484,722515.0,4
8716586,-79.9587295,37.302484,337910.0,6
8716586,-79.9587295,37.302484,453998.0,6
8716586,-79.9587295,37.302484,517312.0,6
8716586,-79.9587295,37.302484,722515.0,6
8716924,-79.2527503490649,37.3763810904811,453910.0,9
8717037,-79.9587295,37.302484,337910.0,2
8717037,-79.9587295,37.302484,453998.0,2
8717037,-79.9587295,37.302484,517312.0,2
8717037,-79.9587295,37.302484,722515.0,2
8717370,-79.2402575,37.3561155,722511.0,3
8717371,-79.2402575,37.3561155,722511.0,2
8717779,-79.9587295,37.302484,337910.0,6
8717779,-79.9587295,37.302484,453998.0,6
8717779,-79.9587295,37.302484,517312.0,6
8717779,-79.9587295,37.302484,722515.0,6
8718003,-79.9587295,37.302484,337910.0,4
8718003,-79.9587295,37.302484,453998.0,4
8718003,-79.9587295,37.302484,517312.0,4
8718003,-79.9587295,37.302484,722515.0,4
8718244,-79.9851024187788,37.222202999747,448120.0,3
8718535,-79.953153,37.3478945,441310.0,11
8718607,-79.964111,37.3078675,448120.0,3
8718607,-79.964111,37.3078675,448210.0,3
8719175,-79.8933815,36.9992435,453220.0,1
8719246,-79.9587295,37.302484,337910.0,7
8719246,-79.9587295,37.302484,453998.0,7
8719246,-79.9587295,37.302484,517312.0,7
8719246,-79.9587295,37.302484,722515.0,7
8719707,-79.120216,37.446097,447110.0,1
8719863,-79.964111,37.3078675,448120.0,7
8719863,-79.964111,37.3078675,448210.0,7
8719996,-79.9587295,37.302484,337910.0,2
8719996,-79.9587295,37.302484,453998.0,2
8719996,-79.9587295,37.302484,517312.0,2
8719996,-79.9587295,37.302484,722515.0,2
8720002,-79.9133985,37.409708,447110.0,41
8720002,-79.9133985,37.409708,447190.0,41
8720381,-79.9587295,37.302484,337910.0,5
8720381,-79.9587295,37.302484,453998.0,5
8720381,-79.9587295,37.302484,517312.0,5
8720381,-79.9587295,37.302484,722515.0,5
8720826,-81.505023,36.842606,722513.0,1
8720931,-80.571554,37.1357095,492110.0,1
8720931,-80.571554,37.1357095,522110.0,1
8722123,-81.0972355,36.9586995,443142.0,6
8722123,-81.0972355,36.9586995,517312.0,6
8722123,-81.0972355,36.9586995,722513.0,6
8722123,-81.0972355,36.9586995,722515.0,6
8722134,-79.9587295,37.302484,337910.0,5
8722134,-79.9587295,37.302484,453998.0,5
8722134,-79.9587295,37.302484,517312.0,5
8722134,-79.9587295,37.302484,722515.0,5
8723506,-80.4215995,37.159224,722515.0,1
8723765,-79.964111,37.3078675,448120.0,3
8723765,-79.964111,37.3078675,448210.0,3
8723828,-79.2527503490649,37.3763810904811,453910.0,8
8724026,-79.9797055,37.2275535,722511.0,4
8724026,-79.9797055,37.2275535,722513.0,4
8724188,-80.091969,37.288332,722511.0,3
8726624,-79.898355,37.392153,721110.0,13
8731981,-80.556555,37.1412105,447110.0,1
8732662,-80.556555,37.1412105,447110.0,1
8733368,-80.032984,37.3089445,811111.0,1
8733445,-80.0286645,37.2984935,721110.0,4
8733694,-79.96794,37.3046935,722511.0,2
8734021,-79.9111729556184,37.4161333774003,446110.0,11
8735179,-79.994896,37.329061,524126.0,1
8735389,-79.9387395,37.2692005,492110.0,1
8735389,-79.9387395,37.2692005,522110.0,1
8735389,-79.9387395,37.2692005,523120.0,1
8735559,-79.2234215,37.353834,812112.0,2
8735869,-79.2402575,37.3561155,722511.0,1
8737481,-79.9133985,37.409708,447110.0,17
8737481,-79.9133985,37.409708,447190.0,17
8737501,-79.141481,37.41467,448150.0,2
8737501,-79.141481,37.41467,722513.0,2
8737501,-79.141481,37.41467,812930.0,2
8738449,-79.9627525,37.278848,811111.0,1
8739236,-79.9776115,37.2649195,523120.0,3
